City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
268,Mocajuba,BR,71.89,-2.5842,-49.5072,moderate rain,Hotel Saylon Mocajuba
270,Oriximina,BR,74.61,-1.7656,-55.8661,light rain,Pousada Tia Amélia
279,Mount Isa,AU,76.77,-20.7333,139.5,light intensity shower rain,ibis Styles Mt Isa Verona
282,Cockburn Town,TC,78.01,21.4612,-71.1419,clear sky,Osprey Beach Hotel
285,Lhokseumawe,ID,84.78,5.1801,97.1507,clear sky,OYO 3278 Penginapan Alfajri
286,Anloga,GH,78.89,5.7947,0.8973,scattered clouds,Pin Drop Hotel
290,Salvador,SV,73.8,13.8333,-88.9167,overcast clouds,Chico's Ranch
295,Conceicao Do Araguaia,BR,70.97,-8.2578,-49.2647,overcast clouds,Tarumã Tropical Hotel
296,Uige,AO,65.25,-7.6087,15.0613,light rain,Hotel Catraio
297,Ilhabela,BR,74.21,-23.7781,-45.3581,overcast clouds,Ilha Flat Hotel
298,Maua,BR,69.1,-23.6678,-46.4614,overcast clouds,Hotel Capriccio Mauá
299,Lokoja,NG,73.35,7.8024,6.743,overcast clouds,Hotel Charvid
307,Kampot,KH,84.25,10.6167,104.1833,scattered clouds,Two Moons Hotel
309,Isangel,VU,78.91,-19.55,169.2667,heavy intensity rain,Tanna Lodge
311,Tabuk,PH,80.06,17.4189,121.4443,overcast clouds,Golden Berries Hotel and Convention
313,Camocim,BR,73.2,-2.9022,-40.8411,overcast clouds,Ilha Praia Hotel
314,Vao,NC,77.92,-22.6667,167.4833,light rain,Hotel Kou-Bugny
317,Sao Filipe,CV,70.5,14.8961,-24.4956,overcast clouds,Hotel Xaguate
318,Chancay,PE,72.32,-11.5714,-77.2672,overcast clouds,Hotel Madre Perla
329,Paulista,BR,73.26,-7.9408,-34.8731,moderate rain,Hotel Chanceller
334,Ugoofaaru,MV,82.31,5.6667,73.0,scattered clouds,Ungoofaaru Inn
335,Maceio,BR,78.24,-9.6658,-35.7353,moderate rain,Poutur Pousada
343,Pauini,BR,73.2,-7.7136,-66.9764,heavy intensity rain,Casa do Kiwliks
349,Hambantota,LK,80.94,6.1241,81.1185,few clouds,Bungalow 63
350,Byron Bay,AU,84.31,-28.65,153.6167,scattered clouds,Backpackers Inn
354,Ambovombe,MG,74.08,-25.1667,46.0833,clear sky,RELAHARA
355,Ewa Beach,US,76.69,21.3156,-158.0072,scattered clouds,Uncle Junior Robert
359,Uvira,CD,72.37,-3.4067,29.1458,overcast clouds,Hotel Suzana
361,La Primavera,CO,78.91,5.4906,-70.4092,overcast clouds,La Riviera Hotel Colonial
366,Boueni,YT,78.78,-12.9025,45.0761,overcast clouds,The feet in water
368,Vila Velha,BR,78.75,-20.3297,-40.2925,clear sky,Quality Suites Vila Velha
369,Kirakira,SB,83.48,-10.4544,161.9205,overcast clouds,SanBiz Lodge
370,Esperance,AU,79.5,-33.8667,121.9,clear sky,Hospitality Esperance
