City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Ballina,AU,-28.8667,153.5667,84.38,75,23,10.87,few clouds
203,Rokytnice Nad Jizerou,CZ,50.7256,15.4336,34.07,93,100,4.27,light snow
204,Kutahya,TR,39.4242,29.9833,19.35,96,74,2.89,broken clouds
205,Nador,MA,35.174,-2.9287,57.45,88,75,12.66,broken clouds
206,Thompson,CA,55.7435,-97.8558,-1.71,98,100,2.59,light snow
207,Acari,PE,-15.4311,-74.6158,70.93,76,46,3.11,scattered clouds
208,Cananea,MX,30.95,-110.3,41.77,44,98,11.23,overcast clouds
209,Mahanje,TZ,-9.9333,35.3333,64.65,98,100,1.34,light rain
210,Tuatapere,NZ,-46.1333,167.6833,68.83,47,100,1.54,overcast clouds
211,Nova Odesa,UA,47.3078,31.7851,32.9,87,95,15.9,overcast clouds
212,Ponta Do Sol,PT,32.6667,-17.1,61.43,47,67,4.47,broken clouds
213,Nuevo Ideal,MX,24.8875,-105.0728,45.21,80,49,3.11,scattered clouds
214,Victoria,HK,22.2855,114.1577,70.97,81,97,10.0,overcast clouds
215,Sergeyevka,KZ,53.88,67.4158,2.34,85,100,6.33,overcast clouds
216,Wonthaggi,AU,-38.6044,145.5913,75.06,72,38,9.93,scattered clouds
217,Nadym,RU,65.5333,72.5167,-8.93,96,71,8.3,broken clouds
218,Tairua,NZ,-37.0167,175.85,72.09,64,53,7.72,broken clouds
219,Halifax,CA,44.6453,-63.5724,32.49,93,100,3.0,overcast clouds
220,Arraial Do Cabo,BR,-22.9661,-42.0278,75.6,92,98,5.46,overcast clouds
221,Dingle,PH,10.9995,122.6711,87.06,64,76,4.59,broken clouds
222,Samarai,PG,-10.6167,150.6667,85.62,65,100,5.53,light rain
223,Komsomolskiy,UZ,40.4272,71.7189,34.52,86,100,6.91,mist
224,Berezovyy,RU,51.6667,135.7,1.71,77,27,2.13,scattered clouds
225,Antipovka,RU,49.8299,45.3122,14.65,96,98,7.96,snow
226,Cedar City,US,37.6775,-113.0619,27.57,50,0,3.44,clear sky
227,Filadelfia,US,39.9523,-75.1638,31.17,92,100,1.99,snow
228,Vaini,TO,-21.2,-175.2,82.69,78,100,16.73,light rain
229,Nova Olinda Do Norte,BR,-3.8881,-59.0942,73.76,98,100,0.22,light rain
230,Barreirinhas,BR,-2.7469,-42.8264,73.94,83,100,7.58,overcast clouds
231,Port Elizabeth,ZA,-33.918,25.5701,65.1,78,99,1.88,overcast clouds
232,Cravo Norte,CO,6.3017,-70.2041,79.34,41,65,6.2,broken clouds
233,Carnarvon,AU,-24.8667,113.6333,86.07,62,1,19.57,clear sky
234,Guerrero Negro,MX,27.9769,-114.0611,65.1,41,6,1.05,clear sky
235,Evensk,RU,61.95,159.2333,18.37,80,100,28.19,overcast clouds
236,Aklavik,CA,68.2191,-135.0107,-24.2,88,6,6.35,clear sky
237,Rudnichnyy,RU,59.617,52.4703,13.06,96,100,5.28,overcast clouds
238,Skwierzyna,PL,52.5991,15.5065,35.92,88,100,10.13,overcast clouds
239,Saint Stephen,GB,50.3333,-4.9,50.14,100,100,20.71,overcast clouds
240,Sagua La Grande,CU,22.8067,-80.0756,67.19,72,87,9.44,overcast clouds
241,Caravelas,BR,-17.7125,-39.2481,75.43,94,40,6.24,scattered clouds
242,Bom Conselho,BR,-9.1697,-36.6797,70.65,80,98,7.36,moderate rain
243,Provideniya,RU,64.3833,-173.3,-0.94,97,15,3.31,few clouds
244,Gonen,TR,40.1049,27.654,33.76,91,100,2.66,overcast clouds
245,Lodwar,KE,3.1191,35.5973,81.0,39,85,7.78,overcast clouds
246,Baykit,RU,61.67,96.37,-3.78,98,100,2.59,overcast clouds
247,Tura,IN,25.5198,90.2201,65.91,35,0,2.68,clear sky
248,Monastyrshchina,RU,54.3496,31.838,28.02,95,100,15.43,light snow
249,Mangrol,IN,21.1167,70.1167,68.99,31,25,9.95,scattered clouds
250,Marsaxlokk,MT,35.8419,14.5431,55.08,76,75,16.11,broken clouds
251,Tabas,IR,33.5959,56.9244,42.87,36,0,0.72,clear sky
252,Shimanovsk,RU,52.0,127.7,6.42,72,87,10.45,overcast clouds
253,Conway,US,35.0887,-92.4421,34.93,43,75,1.01,broken clouds
254,Wake Forest,US,35.9799,-78.5097,39.31,79,100,5.01,overcast clouds
255,Amberley,US,39.2048,-84.428,16.02,85,0,4.0,clear sky
256,Georgetown,MY,5.4112,100.3354,89.53,66,20,3.44,haze
257,Narsaq,GL,60.9167,-46.05,19.62,93,100,5.64,snow
258,Port Stanley,FK,-51.7,-57.85,48.49,78,100,2.17,overcast clouds
259,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,87,29,8.79,scattered clouds
260,Alice Springs,AU,-23.7,133.8833,76.55,94,100,6.91,light intensity shower rain
261,Taunggyi,MM,20.7833,97.0333,63.46,21,65,4.34,broken clouds
262,Anadyr,RU,64.75,177.4833,-5.01,83,100,1.45,overcast clouds
263,Crixas,BR,-14.5489,-49.9692,69.19,95,100,4.03,overcast clouds
264,Payo,ID,-3.7508,103.6372,86.23,64,98,3.44,overcast clouds
265,Kattivakkam,IN,13.2167,80.3167,78.89,85,96,14.94,overcast clouds
266,Wajima,JP,37.4,136.9,37.98,81,100,8.14,overcast clouds
267,Mount Gambier,AU,-37.8333,140.7667,72.39,54,46,13.18,scattered clouds
268,Mocajuba,BR,-2.5842,-49.5072,71.89,98,100,2.86,moderate rain
269,Cherskiy,RU,68.75,161.3,-11.11,95,100,2.84,overcast clouds
270,Oriximina,BR,-1.7656,-55.8661,74.61,94,99,2.84,light rain
