City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Port Pirie,AU,2022-01-27 03:07:08,-33.1833,138.0167,91.85,36,0,7.47
91,Vestmanna,FO,2022-01-27 03:07:09,62.1564,-7.1664,34.72,80,75,20.71
92,Anadyr,RU,2022-01-27 03:07:09,64.75,177.4833,-12.84,97,100,3.2
93,Yulara,AU,2022-01-27 03:08:09,-25.2406,130.9889,97.66,27,35,3.74
94,Vung Tau,VN,2022-01-27 03:08:10,10.346,107.0843,80.47,70,11,3.56
95,Maniitsoq,GL,2022-01-27 03:04:06,65.4167,-52.9,15.3,92,100,10.25
96,Freeport,US,2022-01-27 03:03:13,40.6576,-73.5832,24.26,48,0,1.99
97,Surt,LY,2022-01-27 03:08:10,31.2089,16.5887,52.39,60,23,11.63
98,Kaitangata,NZ,2022-01-27 03:07:45,-46.2817,169.8464,58.93,54,45,13.47
99,Luderitz,NA,2022-01-27 03:08:11,-26.6481,15.1594,67.46,73,2,19.62
100,Ballarat,AU,2022-01-27 03:04:18,-37.5662,143.8496,84.99,43,65,11.54
101,Sola,VU,2022-01-27 03:06:30,-13.8833,167.55,81.99,80,100,16.08
102,Srivardhan,IN,2022-01-27 03:08:11,18.0333,73.0167,69.28,52,3,5.37
103,Nome,US,2022-01-27 03:08:12,64.5011,-165.4064,-18.33,76,0,0.0
104,Vavoua,CI,2022-01-27 03:08:12,7.3819,-6.4778,67.59,25,1,3.15
105,Arraial Do Cabo,BR,2022-01-27 03:08:12,-22.9661,-42.0278,75.42,86,7,24.4
106,Torbay,CA,2022-01-27 03:05:29,47.6666,-52.7314,29.75,95,100,3.0
107,Upata,VE,2022-01-27 03:08:13,8.0086,-62.3989,67.68,78,34,3.44
108,Kantunilkin,MX,2022-01-27 03:08:13,21.0917,-87.45,73.24,99,24,2.73
109,Marsh Harbour,BS,2022-01-27 03:05:28,26.5412,-77.0636,73.81,77,16,9.95
110,Bambanglipuro,ID,2022-01-27 03:08:14,-7.95,110.2833,84.31,71,99,9.82
111,Rapid City,US,2022-01-27 03:05:28,44.0805,-103.231,37.09,53,20,5.01
112,Bambous Virieux,MU,2022-01-27 03:08:14,-20.3428,57.7575,76.21,88,40,4.61
113,Cabedelo,BR,2022-01-27 03:05:13,-6.9811,-34.8339,75.87,81,85,9.46
114,Nyalikungu,TZ,2022-01-27 03:08:15,-3.1833,33.7833,63.01,75,30,4.56
115,Jiuquan,CN,2022-01-27 03:08:15,39.7432,98.5174,22.53,35,100,0.58
116,Ketchikan,US,2022-01-27 03:08:15,55.3422,-131.6461,35.58,100,20,3.44
117,Leningradskiy,RU,2022-01-27 03:08:16,69.3833,178.4167,-25.26,90,10,3.09
118,Broome,US,2022-01-27 03:04:10,42.2506,-75.833,6.66,78,10,1.01
119,Amursk,RU,2022-01-27 03:08:16,50.2261,136.8994,-0.65,91,99,5.84
120,Severodvinsk,RU,2022-01-27 03:08:17,64.5635,39.8302,12.31,97,98,6.82
121,Burns Lake,CA,2022-01-27 03:08:17,54.2331,-125.7533,20.8,100,100,3.13
122,Shingu,JP,2022-01-27 03:08:17,33.7333,135.9833,52.68,43,100,0.56
123,Saint-Augustin,CA,2022-01-27 03:08:18,51.226,-58.6502,-13.68,83,1,9.44
124,Parabel,RU,2022-01-27 03:08:18,58.6978,81.4825,-18.24,100,100,3.87
125,Provideniya,RU,2022-01-27 03:05:16,64.3833,-173.3,-2.09,71,75,6.71
126,Tasiilaq,GL,2022-01-27 03:06:31,65.6145,-37.6368,19.56,81,100,5.79
127,Rikitea,PF,2022-01-27 03:03:58,-23.1203,-134.9692,78.48,78,3,18.16
128,Hokitika,NZ,2022-01-27 03:07:40,-42.7167,170.9667,65.98,49,0,9.84
129,Carutapera,BR,2022-01-27 03:08:19,-1.195,-46.02,75.92,92,100,4.88
130,Hirara,JP,2022-01-27 03:08:19,24.8,125.2833,70.72,68,53,7.76
131,Mar Del Plata,AR,2022-01-27 03:05:18,-38.0023,-57.5575,64.09,71,0,1.99
132,Victoria,HK,2022-01-27 03:04:31,22.2855,114.1577,70.32,89,52,11.88
133,Longyearbyen,SJ,2022-01-27 03:08:20,78.2186,15.6401,8.44,66,75,2.3
134,Marataizes,BR,2022-01-27 03:08:20,-21.0433,-40.8244,73.6,86,13,14.09
135,Abong Mbang,CM,2022-01-27 03:08:20,3.9833,13.1833,61.23,37,99,1.92
136,Talnakh,RU,2022-01-27 03:08:21,69.4865,88.3972,1.2,96,100,14.83
137,Kvarkeno,RU,2022-01-27 03:08:21,52.0833,59.725,19.67,98,100,7.14
138,Broken Hill,AU,2022-01-27 03:08:21,-31.95,141.4333,97.57,24,1,7.25
139,Khatanga,RU,2022-01-27 03:08:22,71.9667,102.5,2.21,86,100,14.18
140,Xiantao,CN,2022-01-27 03:07:35,30.3833,113.4,36.25,96,100,11.48
141,Ixtapa,MX,2022-01-27 03:05:54,20.7,-105.2,71.22,88,20,0.0
142,Ashqelon,IL,2022-01-27 03:09:22,31.6693,34.5715,49.89,57,92,30.44
143,Ruwi,OM,2022-01-27 03:09:23,23.5996,58.5507,62.29,59,0,1.79
144,Avera,US,2022-01-27 03:05:41,33.194,-82.5271,45.72,71,22,10.18
145,Karasuk,RU,2022-01-27 03:09:23,53.7377,78.0403,-14.13,100,89,4.99
146,Ojinaga,MX,2022-01-27 03:09:23,29.5667,-104.4167,57.42,62,0,16.11
147,Puerto Leguizamo,CO,2022-01-27 03:05:09,-0.1934,-74.7819,72.01,98,100,1.99
148,Vestmannaeyjar,IS,2022-01-27 03:09:13,63.4427,-20.2734,36.55,65,71,2.48
149,Manbij,SY,2022-01-27 03:09:24,36.5281,37.9549,36.37,97,100,6.85
150,Matay,EG,2022-01-27 03:09:24,28.419,30.7792,41.81,59,2,7.43
151,Castelbuono,IT,2022-01-27 03:09:25,37.932,14.0886,43.39,75,1,1.21
152,Saldanha,ZA,2022-01-27 03:08:01,-33.0117,17.9442,63.82,92,0,12.26
153,Ancud,CL,2022-01-27 03:09:25,-41.8697,-73.8203,56.73,76,0,2.3
154,Miles City,US,2022-01-27 03:09:26,46.4083,-105.8406,35.51,75,100,12.66
155,Egvekinot,RU,2022-01-27 03:09:26,66.3167,-179.1667,-11.11,93,100,1.92
156,Bembereke,BJ,2022-01-27 03:09:26,10.2283,2.6634,66.94,20,0,6.6
157,Castro,BR,2022-01-27 03:08:54,-24.7911,-50.0119,66.96,89,99,2.59
158,Noumea,NC,2022-01-27 03:07:38,-22.2763,166.4572,86.0,99,90,16.46
159,Geraldton,AU,2022-01-27 03:09:27,-28.7667,114.6,84.13,47,0,21.85
160,Gazojak,TM,2022-01-27 03:05:05,41.1875,61.4036,31.41,72,0,10.98
161,Gat,IL,2022-01-27 03:09:27,31.61,34.7642,48.88,100,89,23.91
162,Saint George,US,2022-01-27 03:09:01,37.1041,-113.5841,44.35,37,0,1.99
163,Tahe,CN,2022-01-27 03:09:28,52.3333,124.7333,6.39,66,3,9.1
164,Kalangala,UG,2022-01-27 03:09:28,-0.3089,32.225,67.35,56,38,9.78
165,At-Bashi,KG,2022-01-27 03:09:28,41.1702,75.8106,-8.73,69,2,3.11
166,Acarau,BR,2022-01-27 03:08:12,-2.8856,-40.12,77.13,87,100,11.27
167,Tilichiki,RU,2022-01-27 03:09:29,60.4667,166.1,22.84,92,100,12.19
168,Tessalit,ML,2022-01-27 03:09:29,20.1986,1.0114,59.36,25,91,15.7
169,Sobolevo,RU,2022-01-27 03:09:30,54.4299,31.8996,11.57,97,100,7.7
170,Esperance,AU,2022-01-27 03:07:44,-33.8667,121.9,69.64,79,100,10.54
171,Omboue,GA,2022-01-27 03:09:30,-1.5746,9.2618,77.0,87,94,6.42
172,Touros,BR,2022-01-27 03:09:30,-5.1989,-35.4608,77.9,77,100,10.76
173,Benxi,CN,2022-01-27 03:09:09,41.2886,123.765,14.32,62,6,4.38
174,Grand Gaube,MU,2022-01-27 03:09:31,-20.0064,57.6608,77.38,66,17,3.0
175,Fukue,JP,2022-01-27 03:09:31,32.6881,128.8419,50.56,57,98,10.49
176,Tokur,RU,2022-01-27 03:09:31,53.1333,132.9,-6.32,94,100,2.39
177,Suyo,PH,2022-01-27 03:09:32,16.9762,120.5254,83.95,58,73,5.84
178,Mount Gambier,AU,2022-01-27 03:07:44,-37.8333,140.7667,91.11,41,5,9.75
179,Tiksi,RU,2022-01-27 03:09:32,71.6872,128.8694,0.48,87,73,17.0
180,Barkhan,PK,2022-01-27 03:09:33,29.8977,69.5256,42.46,28,0,3.15
181,East London,ZA,2022-01-27 03:09:33,-33.0153,27.9116,72.41,92,36,3.29
182,Manicore,BR,2022-01-27 03:09:33,-5.8092,-61.3003,71.24,99,98,1.19
183,Fallon,US,2022-01-27 03:09:05,39.4735,-118.7774,35.28,60,0,6.91
184,Kieta,PG,2022-01-27 03:09:34,-6.2167,155.6333,82.22,78,100,5.73
185,Palm Valley,US,2022-01-27 03:09:34,30.1775,-81.3876,58.98,91,100,15.23
186,Lagoa,PT,2022-01-27 03:09:37,39.05,-27.9833,58.73,81,26,11.7
187,Baykit,RU,2022-01-27 03:10:35,61.67,96.37,-20.38,100,60,0.38
188,Hailar,CN,2022-01-27 03:10:35,49.2,119.7,-6.57,96,100,5.28
189,Olafsvik,IS,2022-01-27 03:10:35,64.8945,-23.7142,34.05,59,100,5.57
190,Heide,DE,2022-01-27 03:10:36,54.2,9.1,42.96,88,100,26.66
191,Cap Malheureux,MU,2022-01-27 03:07:19,-19.9842,57.6142,76.46,68,21,3.0
192,Port Blair,IN,2022-01-27 03:10:36,11.6667,92.75,82.44,69,40,9.22
193,Birao,CF,2022-01-27 03:10:36,10.2849,22.7882,68.0,19,100,12.1
194,Port Elizabeth,ZA,2022-01-27 03:10:37,-33.918,25.5701,66.09,91,100,1.43
195,Lompoc,US,2022-01-27 03:10:37,34.6391,-120.4579,56.12,86,0,0.0
196,Gohpur,IN,2022-01-27 03:10:38,26.8833,93.6333,57.45,65,100,4.34
197,Guerrero Negro,MX,2022-01-27 03:06:44,27.9769,-114.0611,62.98,54,100,7.61
198,Moerai,PF,2022-01-27 03:10:38,-22.4333,-151.3333,80.37,81,100,12.64
199,Mocuba,MZ,2022-01-27 03:10:38,-16.8392,36.9856,72.86,92,100,4.41
200,Westlock,CA,2022-01-27 03:10:39,54.1502,-113.8688,31.41,85,96,11.63
201,Saltpond,GH,2022-01-27 03:10:39,5.2091,-1.0606,77.41,90,2,4.68
202,Sao Paulo De Olivenca,BR,2022-01-27 03:10:39,-3.3783,-68.8725,72.99,96,80,1.54
203,Winslow,US,2022-01-27 03:10:40,35.0242,-110.6974,30.31,39,0,0.0
204,Ponta Do Sol,PT,2022-01-27 03:10:28,32.6667,-17.1,59.0,77,55,5.66
205,Constitucion,CL,2022-01-27 03:10:40,-35.3333,-72.4167,57.25,94,8,4.5
206,Jatai,BR,2022-01-27 03:10:40,-17.8814,-51.7144,69.46,88,60,4.43
207,Henties Bay,NA,2022-01-27 03:10:41,-22.116,14.2845,66.85,88,98,6.73
208,Oranjemund,NA,2022-01-27 03:10:41,-28.55,16.4333,63.72,87,91,13.85
209,Cabo San Lucas,MX,2022-01-27 03:09:29,22.8909,-109.9124,71.15,66,0,3.44
210,Corinto,GR,2022-01-27 03:10:42,37.9407,22.9573,40.68,72,2,2.57
211,Lebu,CL,2022-01-27 03:10:42,-37.6167,-73.65,57.63,91,2,9.19
212,Buta,CD,2022-01-27 03:10:42,2.7858,24.73,65.53,48,85,1.32
213,Bay Roberts,CA,2022-01-27 03:09:19,47.5999,-53.2648,30.51,92,100,8.01
214,Cochabamba,BO,2022-01-27 03:08:42,-17.3895,-66.1568,64.2,59,75,3.44
215,Plettenberg Bay,ZA,2022-01-27 03:10:43,-34.0527,23.3716,65.68,95,66,3.71
216,Narayangarh,IN,2022-01-27 03:10:43,30.4833,77.1333,48.69,74,0,2.46
217,Knysna,ZA,2022-01-27 03:10:44,-34.0363,23.0471,64.78,97,67,3.83
218,Avarua,CK,2022-01-27 03:10:44,-21.2078,-159.775,82.45,83,40,12.66
219,Kabalo,CD,2022-01-27 03:10:44,-6.05,26.9167,68.77,97,100,0.96
220,Sorland,NO,2022-01-27 03:10:45,67.667,12.6934,38.26,74,82,7.14
221,Kuusamo,FI,2022-01-27 03:10:45,65.9667,29.1833,14.04,92,75,4.61
222,Merauke,ID,2022-01-27 03:10:45,-8.4667,140.3333,85.73,66,100,8.63
223,Zlobin,HR,2022-01-27 03:11:07,45.2924,14.6541,29.5,89,0,5.75
